u:\PHYS 402\Lab 4 (D2)\DoubleSlitrun3_04mmwidth_5mmspace_logcurrent.txt

DAQ PROGRAM: DIFFN4.prj 

Current Date: 
10-13-2020
Current Time: 
11:18:56
Total Number of Data Points:     
501
Number of Samples per Point:    
30000
Stepper Motor Step Size (Cycles):
10
Stepper Motor Step Size (Steps): 
400
Stepper Motor Step Size (cm):    
0.01
 Start Date:  10-13-2020
 Start Time:  11:02:52

Xpos 	Iobs 	Vobs 	Robs 
        2.01975	      47.564681	      -0.095129	      -0.096776
        2.02975	      21.164829	       -0.04233	      -0.043976
        2.03975	        5.21295	      -0.010426	      -0.012072
        2.04975	       3.335601	      -0.006671	      -0.008317
       2.059725	      16.313722	      -0.032627	      -0.034274
        2.06975	      40.526553	      -0.081053	      -0.082699
        2.07975	      71.848288	      -0.143697	      -0.145343
        2.08975	     100.986366	      -0.201973	      -0.203619
        2.09975	      121.50866	      -0.243017	      -0.244664
       2.109725	     127.724619	      -0.255449	      -0.257095
        2.11975	     118.173004	      -0.236346	      -0.237992
        2.12975	        94.7154	      -0.189431	      -0.191077
        2.13975	      64.246758	      -0.128494	       -0.13014
        2.14975	      33.398824	      -0.066798	      -0.068444
       2.159725	      10.885728	      -0.021771	      -0.023418
        2.16975	       2.587784	      -0.005176	      -0.006822
        2.17975	      10.323992	      -0.020648	      -0.022294
        2.18975	      32.793977	      -0.065588	      -0.067234
       2.199725	      64.785261	      -0.129571	      -0.131217
       2.209725	      97.659166	      -0.195318	      -0.196965
        2.21975	     122.937403	      -0.245875	      -0.247521
        2.22975	     135.402808	      -0.270806	      -0.272452
        2.23975	     131.074467	      -0.262149	      -0.263795
       2.249725	     110.887692	      -0.221775	      -0.223422
       2.259725	      79.938703	      -0.159877	      -0.161524
        2.26975	      47.223323	      -0.094447	      -0.096093
        2.27975	      19.125971	      -0.038252	      -0.039898
        2.28975	       4.238187	      -0.008476	      -0.010123
       2.299725	       6.129995	       -0.01226	      -0.013906
       2.309725	      24.373185	      -0.048746	      -0.050393
       2.319725	      53.658587	      -0.107317	      -0.108963
        2.32975	       88.58575	      -0.177172	      -0.178818
        2.33975	     118.466327	      -0.236933	      -0.238579
       2.349725	     136.658702	      -0.273317	      -0.274964
       2.359725	      138.05508	       -0.27611	      -0.277756
        2.36975	     123.349038	      -0.246698	      -0.248344
        2.37975	      94.657819	      -0.189316	      -0.190962
        2.38975	      60.577894	      -0.121156	      -0.122802
        2.39975	      28.989586	      -0.057979	      -0.059625
       2.409725	       8.314896	       -0.01663	      -0.018276
        2.41975	       3.549008	      -0.007098	      -0.008744
        2.42975	      16.056509	      -0.032113	      -0.033759
        2.43975	      42.490205	       -0.08498	      -0.086627
       2.449725	       76.46201	      -0.152924	       -0.15457
        2.45975	      108.81821	      -0.217636	      -0.219283
        2.46975	     131.220816	      -0.262442	      -0.264088
        2.47975	     139.207746	      -0.278415	      -0.280062
        2.48975	     129.744861	       -0.25949	      -0.261136
       2.499725	     105.474322	      -0.210949	      -0.212595
       2.509725	      72.945981	      -0.145892	      -0.147538
        2.51975	      40.507356	      -0.081015	      -0.082661
        2.52975	      14.787481	      -0.029575	      -0.031221
        2.53975	       3.924592	      -0.007849	      -0.009495
       2.549725	       9.700856	      -0.019402	      -0.021048
       2.559725	      30.909574	      -0.061819	      -0.063465
        2.56975	      60.883979	      -0.121768	      -0.123414
        2.57975	      94.093513	      -0.188187	      -0.189833
        2.58975	     119.875188	       -0.23975	      -0.241397
       2.599725	     133.514751	       -0.26703	      -0.268676
       2.609725	     130.484468	      -0.260969	      -0.262615
        2.61975	     112.405377	      -0.224811	      -0.226457
        2.62975	      82.744254	      -0.165489	      -0.167135
        2.63975	      50.566779	      -0.101134	       -0.10278
        2.64975	      22.523995	      -0.045048	      -0.046694
       2.659725	       6.355812	      -0.012712	      -0.014358
        2.66975	       5.567321	      -0.011135	      -0.012781
        2.67975	      20.395941	      -0.040792	      -0.042438
        2.68975	      46.055649	      -0.092111	      -0.093758
        2.69975	      77.228236	      -0.154456	      -0.156103
       2.709725	      104.85565	      -0.209711	      -0.211358
        2.71975	     121.743926	      -0.243488	      -0.245134
        2.72975	     124.511355	      -0.249023	      -0.250669
        2.73975	     112.645019	       -0.22529	      -0.226936
       2.749725	      88.340599	      -0.176681	      -0.178327
       2.759725	       58.33585	      -0.116672	      -0.118318
        2.76975	      30.732514	      -0.061465	      -0.063111
        2.77975	      10.667453	      -0.021335	      -0.022981
        2.78975	       4.507098	      -0.009014	       -0.01066
       2.799725	      12.431999	      -0.024864	       -0.02651
       2.809725	      32.888479	      -0.065777	      -0.067423
        2.81975	      59.079444	      -0.118159	      -0.119805
        2.82975	      86.405494	      -0.172811	      -0.174457
        2.83975	     105.714719	      -0.211429	      -0.213076
       2.849725	     113.274672	      -0.226549	      -0.228196
       2.859725	     107.129829	       -0.21426	      -0.215906
        2.86975	      89.370895	      -0.178742	      -0.180388
        2.87975	      63.032118	      -0.126064	       -0.12771
        2.88975	      36.833414	      -0.073667	      -0.075313
       2.899725	      15.420344	      -0.030841	      -0.032487
       2.909725	       4.903836	      -0.009808	      -0.011454
        2.91975	       7.190579	      -0.014381	      -0.016027
        2.92975	        21.7044	      -0.043409	      -0.045055
        2.93975	      43.425209	       -0.08685	      -0.088497
       2.949725	      67.491335	      -0.134983	      -0.136629
       2.959725	      87.415338	      -0.174831	      -0.176477
        2.96975	      97.737484	      -0.195475	      -0.197121
        2.97975	      96.743556	      -0.193487	      -0.195133
        2.98975	      84.340575	      -0.168681	      -0.170327
       2.999725	      63.693139	      -0.127386	      -0.129033
       3.009725	       40.01577	      -0.080032	      -0.081678
        3.01975	      19.911246	      -0.039822	      -0.041469
        3.02975	       6.894512	      -0.013789	      -0.015435
        3.03975	       4.721534	      -0.009443	      -0.011089
       3.049725	      13.243965	      -0.026488	      -0.028134
       3.059725	      29.991981	      -0.059984	       -0.06163
        3.06975	       49.61657	      -0.099233	      -0.100879
        3.07975	      68.154415	      -0.136309	      -0.137955
        3.08975	      80.059568	      -0.160119	      -0.161765
        3.09975	      82.670197	       -0.16534	      -0.166987
       3.109725	      75.169803	       -0.15034	      -0.151986
        3.11975	      60.171588	      -0.120343	      -0.121989
        3.12975	      40.813512	      -0.081627	      -0.083273
        3.13975	         22.618	      -0.045236	      -0.046882
       3.149725	        9.01349	      -0.018027	      -0.019673
       3.159725	       3.962062	      -0.007924	       -0.00957
        3.16975	       7.741811	      -0.015484	       -0.01713
        3.17975	      19.234725	      -0.038469	      -0.040116
        3.18975	      34.622617	      -0.069245	      -0.070891
        3.19975	      50.488018	      -0.100976	      -0.102622
       3.209725	      62.136379	      -0.124273	      -0.125919
        3.21975	      66.676899	      -0.133354	         -0.135
        3.22975	      63.291017	      -0.126582	      -0.128228
        3.23975	      52.954549	      -0.105909	      -0.107555
       3.249725	      38.240669	      -0.076481	      -0.078128
       3.259725	      22.749944	        -0.0455	      -0.047146
        3.26975	      10.665596	      -0.021331	      -0.022977
        3.27975	       4.155739	      -0.008311	      -0.009958
        3.28975	       4.725516	      -0.009451	      -0.011097
       3.299725	      11.703785	      -0.023408	      -0.025054
       3.309725	      23.014644	      -0.046029	      -0.047676
        3.31975	      35.097267	      -0.070195	      -0.071841
        3.32975	      45.458728	      -0.090917	      -0.092564
        3.33975	      50.803173	      -0.101606	      -0.103253
       3.349725	      50.097102	      -0.100194	       -0.10184
       3.359725	      43.782681	      -0.087565	      -0.089212
        3.36975	      33.593794	      -0.067188	      -0.068834
        3.37975	      21.564464	      -0.043129	      -0.044775
        3.38975	      11.266538	      -0.022533	      -0.024179
       3.399725	       4.736613	      -0.009473	      -0.011119
       3.409725	       3.291204	      -0.006582	      -0.008229
        3.41975	       6.763504	      -0.013527	      -0.015173
        3.42975	      14.273888	      -0.028548	      -0.030194
        3.43975	      23.113649	      -0.046227	      -0.047874
       3.449725	      31.322184	      -0.062644	      -0.064291
       3.459725	      36.430663	      -0.072861	      -0.074508
        3.46975	       37.41799	      -0.074836	      -0.076482
        3.47975	       33.71887	      -0.067438	      -0.069084
        3.48975	      26.974695	      -0.053949	      -0.055596
       3.499725	      18.592633	      -0.037185	      -0.038832
       3.509725	      10.458248	      -0.020916	      -0.022563
        3.51975	       4.949515	      -0.009899	      -0.011545
        3.52975	       2.644412	      -0.005289	      -0.006935
        3.53975	        3.97169	      -0.007943	       -0.00959
       3.549725	        8.31873	      -0.016637	      -0.018284
       3.559725	      14.232574	      -0.028465	      -0.030111
        3.56975	      19.668762	      -0.039338	      -0.040984
        3.57975	      23.810118	       -0.04762	      -0.049266
        3.58975	       25.26893	      -0.050538	      -0.052184
       3.599725	      23.729785	       -0.04746	      -0.049106
       3.609725	      19.608858	      -0.039218	      -0.040864
        3.61975	      14.451408	      -0.028903	      -0.030549
        3.62975	       8.957985	      -0.017916	      -0.019562
        3.63975	       4.748323	      -0.009497	      -0.011143
       3.649725	       2.414668	      -0.004829	      -0.006476
       3.659725	       2.421887	      -0.004844	       -0.00649
        3.66975	       4.483196	      -0.008966	      -0.010613
        3.67975	       7.705738	      -0.015411	      -0.017058
        3.68975	      11.270361	      -0.022541	      -0.024187
       3.699725	      14.058384	      -0.028117	      -0.029763
        3.70975	      15.252787	      -0.030506	      -0.032152
        3.71975	      14.761497	      -0.029523	      -0.031169
        3.72975	      12.800628	      -0.025601	      -0.027247
        3.73975	       9.794729	      -0.019589	      -0.021236
       3.749725	        6.50467	      -0.013009	      -0.014656
       3.759725	       3.699273	      -0.007399	      -0.009045
        3.76975	       2.030133	       -0.00406	      -0.005707
        3.77975	       1.549464	      -0.003099	      -0.004745
        3.78975	       2.301094	      -0.004602	      -0.006248
       3.799725	       3.777646	      -0.007555	      -0.009202
        3.80975	       5.590008	       -0.01118	      -0.012826
        3.81975	       6.984277	      -0.013969	      -0.015615
        3.82975	       7.839835	       -0.01568	      -0.017326
        3.83975	       7.697813	      -0.015396	      -0.017042
       3.849725	       6.915637	      -0.013831	      -0.015478
       3.859725	       5.504553	      -0.011009	      -0.012655
        3.86975	       3.988642	      -0.007977	      -0.009624
        3.87975	       2.485854	      -0.004972	      -0.006618
        3.88975	       1.601497	      -0.003203	      -0.004849
       3.899725	       1.083074	      -0.002166	      -0.003812
       3.909725	       1.199918	        -0.0024	      -0.004046
        3.91975	       1.636967	      -0.003274	       -0.00492
        3.92975	       2.296077	      -0.004592	      -0.006238
        3.93975	       2.727265	      -0.005455	      -0.007101
        3.94975	       3.096518	      -0.006193	      -0.007839
       3.959725	       3.077869	      -0.006156	      -0.007802
        3.96975	       2.842784	      -0.005686	      -0.007332
        3.97975	       2.282877	      -0.004566	      -0.006212
        3.98975	       1.844557	      -0.003689	      -0.005335
       3.999725	       1.312911	      -0.002626	      -0.004272
       4.009725	       0.965611	      -0.001931	      -0.003577
        4.01975	       0.710058	       -0.00142	      -0.003066
        4.02975	       0.685608	      -0.001371	      -0.003017
        4.03975	       0.666777	      -0.001334	       -0.00298
       4.049725	       0.771501	      -0.001543	      -0.003189
       4.059725	       0.766286	      -0.001533	      -0.003179
        4.06975	       0.770739	      -0.001541	      -0.003188
        4.07975	       0.670228	       -0.00134	      -0.002987
        4.08975	       0.651556	      -0.001303	      -0.002949
       4.099725	       0.566913	      -0.001134	       -0.00278
       4.109725	        0.43459	      -0.000869	      -0.002515
        4.11975	       0.453273	      -0.000907	      -0.002553
        4.12975	       0.420377	      -0.000841	      -0.002487
        4.13975	       0.348352	      -0.000697	      -0.002343
       4.149725	       0.351984	      -0.000704	       -0.00235
       4.159725	       0.416225	      -0.000832	      -0.002479
        4.16975	       0.336094	      -0.000672	      -0.002318
        4.17975	       0.283569	      -0.000567	      -0.002213
        4.18975	       0.167453	      -0.000335	      -0.001981
       4.199725	        0.11967	      -0.000239	      -0.001886
        4.20975	       0.058365	      -0.000117	      -0.001763
        4.21975	       0.066449	      -0.000133	      -0.001779
        4.22975	       0.059142	      -0.000118	      -0.001765
        4.23975	       0.054755	       -0.00011	      -0.001756
        4.24975	       0.079358	      -0.000159	      -0.001805
       4.259725	       0.184295	      -0.000369	      -0.002015
        4.26975	         0.1933	      -0.000387	      -0.002033
        4.27975	       0.188102	      -0.000376	      -0.002022
        4.28975	       0.373613	      -0.000747	      -0.002393
       4.299725	       0.433533	      -0.000867	      -0.002513
       4.309725	       0.629949	       -0.00126	      -0.002906
        4.31975	       0.761757	      -0.001524	       -0.00317
        4.32975	       0.754007	      -0.001508	      -0.003154
        4.33975	       0.819595	      -0.001639	      -0.003285
       4.349725	       0.632414	      -0.001265	      -0.002911
        4.35975	       0.450058	        -0.0009	      -0.002546
        4.36975	       0.269448	      -0.000539	      -0.002185
        4.37975	        0.13614	      -0.000272	      -0.001919
        4.38975	       0.077315	      -0.000155	      -0.001801
        4.39975	       0.250733	      -0.000501	      -0.002148
       4.409725	       0.539472	      -0.001079	      -0.002725
        4.41975	       0.875638	      -0.001751	      -0.003398
        4.42975	       1.341042	      -0.002682	      -0.004328
        4.43975	       1.734762	       -0.00347	      -0.005116
       4.449725	       1.966878	      -0.003934	       -0.00558
       4.459725	       1.990616	      -0.003981	      -0.005627
        4.46975	       1.794851	       -0.00359	      -0.005236
        4.47975	       1.364676	      -0.002729	      -0.004376
        4.48975	       0.861107	      -0.001722	      -0.003368
       4.499725	       0.432859	      -0.000866	      -0.002512
       4.509725	       0.100347	      -0.000201	      -0.001847
        4.51975	       0.230046	       -0.00046	      -0.002106
        4.52975	       0.533809	      -0.001068	      -0.002714
        4.53975	       1.187923	      -0.002376	      -0.004022
        4.54975	       1.978237	      -0.003956	      -0.005603
       4.559725	       2.762905	      -0.005526	      -0.007172
        4.56975	       3.221102	      -0.006442	      -0.008088
        4.57975	       3.357921	      -0.006716	      -0.008362
        4.58975	        3.14865	      -0.006297	      -0.007944
       4.599725	       2.507516	      -0.005015	      -0.006661
       4.609725	       1.754923	       -0.00351	      -0.005156
        4.61975	       0.914531	      -0.001829	      -0.003475
        4.62975	        0.35257	      -0.000705	      -0.002351
        4.63975	       0.252995	      -0.000506	      -0.002152
       4.649725	       0.582079	      -0.001164	       -0.00281
       4.659725	       1.316455	      -0.002633	      -0.004279
        4.66975	       2.195439	      -0.004391	      -0.006037
        4.67975	       3.231508	      -0.006463	      -0.008109
        4.68975	       3.929434	      -0.007859	      -0.009505
       4.699725	       4.360711	      -0.008721	      -0.010368
        4.70975	        4.15403	      -0.008308	      -0.009954
        4.71975	       3.602503	      -0.007205	      -0.008851
        4.72975	       2.589279	      -0.005179	      -0.006825
        4.73975	       1.635094	       -0.00327	      -0.004916
       4.749725	       0.745172	       -0.00149	      -0.003137
       4.759725	       0.289298	      -0.000579	      -0.002225
        4.76975	       0.567482	      -0.001135	      -0.002781
        4.77975	       1.099012	      -0.002198	      -0.003844
        4.78975	       1.960042	       -0.00392	      -0.005566
       4.799725	       3.322024	      -0.006644	       -0.00829
       4.809725	       4.045867	      -0.008092	      -0.009738
        4.81975	       4.442709	      -0.008885	      -0.010532
        4.82975	       4.782643	      -0.009565	      -0.011212
        4.83975	        4.16005	       -0.00832	      -0.009966
        4.84975	       2.982238	      -0.005964	      -0.007611
       4.859725	       2.103467	      -0.004207	      -0.005853
        4.86975	       1.273394	      -0.002547	      -0.004193
        4.87975	       0.636248	      -0.001272	      -0.002919
        4.88975	       0.380914	      -0.000762	      -0.002408
        4.89975	       0.633192	      -0.001266	      -0.002913
       4.909725	       1.304953	       -0.00261	      -0.004256
        4.91975	       2.505764	      -0.005012	      -0.006658
        4.92975	       3.935936	      -0.007872	      -0.009518
        4.93975	       4.948765	      -0.009898	      -0.011544
       4.949725	       4.917666	      -0.009835	      -0.011482
       4.959725	        4.00526	      -0.008011	      -0.009657
        4.96975	       2.661479	      -0.005323	      -0.006969
        4.97975	       1.486822	      -0.002974	       -0.00462
        4.98975	       0.670677	      -0.001341	      -0.002988
       4.999725	       0.262043	      -0.000524	       -0.00217

****END OF DATA****
 End Date:  10-13-2020
 End Time:  11:18:04
 
